iter	Passed	Remaining
0	41	8331
1	98	9702
2	139	9173
3	183	8971
4	228	8894
5	270	8732
6	312	8613
7	355	8532
8	396	8406
9	437	8307
10	480	8261
11	525	8239
12	568	8175
13	612	8143
14	653	8061
15	696	8008
16	736	7930
17	779	7880
18	821	7824
19	865	7786
20	905	7720
21	950	7693
22	993	7648
23	1038	7613
24	1080	7565
25	1123	7521
26	1165	7466
27	1206	7411
28	1250	7373
29	1290	7315
30	1335	7279
31	1377	7233
32	1421	7191
33	1463	7144
34	1504	7091
35	1546	7045
36	1586	6987
37	1627	6940
38	1672	6903
39	1713	6852
40	1750	6789
41	1790	6737
42	1829	6680
43	1872	6637
44	1913	6591
45	1954	6544
46	2000	6511
47	2042	6467
48	2086	6429
49	2130	6390
50	2168	6335
51	2207	6284
52	2247	6234
53	2279	6161
54	2319	6115
55	2359	6068
56	2404	6031
57	2445	5987
58	2488	5946
59	2534	5912
60	2571	5859
61	2611	5813
62	2653	5770
63	2695	5728
64	2734	5679
65	2774	5633
66	2819	5595
67	2861	5554
68	2897	5501
69	2936	5453
70	2977	5409
71	3019	5367
72	3048	5303
73	3090	5261
74	3130	5218
75	3169	5171
76	3204	5119
77	3249	5082
78	3283	5029
79	3325	4988
80	3362	4939
81	3403	4897
82	3445	4857
83	3487	4816
84	3529	4775
85	3572	4736
86	3619	4700
87	3658	4655
88	3701	4616
89	3737	4568
90	3777	4524
91	3819	4484
92	3864	4446
93	3906	4405
94	3947	4363
95	3988	4320
96	4028	4277
97	4073	4239
98	4116	4199
99	4157	4157
100	4200	4117
101	4243	4077
102	4283	4033
103	4328	3995
104	4372	3956
105	4412	3913
106	4454	3871
107	4494	3828
108	4534	3785
109	4580	3747
110	4622	3706
111	4666	3666
112	4712	3628
113	4754	3586
114	4795	3544
115	4835	3501
116	4876	3459
117	4918	3417
118	4963	3378
119	5010	3340
120	5053	3299
121	5078	3246
122	5121	3205
123	5160	3163
124	5201	3121
125	5244	3080
126	5285	3038
127	5328	2997
128	5370	2955
129	5411	2913
130	5456	2873
131	5500	2833
132	5543	2792
133	5584	2750
134	5629	2710
135	5653	2660
136	5693	2618
137	5734	2576
138	5776	2535
139	5820	2494
140	5865	2454
141	5906	2412
142	5936	2366
143	5977	2324
144	6018	2282
145	6062	2242
146	6102	2200
147	6139	2156
148	6180	2115
149	6219	2073
150	6263	2032
151	6304	1990
152	6346	1949
153	6388	1908
154	6429	1866
155	6475	1826
156	6516	1784
157	6555	1742
158	6593	1700
159	6634	1658
160	6680	1618
161	6718	1575
162	6759	1534
163	6800	1492
164	6841	1451
165	6884	1410
166	6924	1368
167	6969	1327
168	7010	1285
169	7049	1244
170	7091	1202
171	7130	1160
172	7173	1119
173	7216	1078
174	7256	1036
175	7296	994
176	7341	954
177	7385	912
178	7427	871
179	7468	829
180	7509	788
181	7552	746
182	7595	705
183	7636	664
184	7677	622
185	7724	581
186	7766	539
187	7808	498
188	7854	457
189	7895	415
190	7937	374
191	7977	332
192	8017	290
193	8058	249
194	8098	207
195	8136	166
196	8182	124
197	8223	83
198	8265	41
199	8312	0
